                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.70673,                0.58918,                 1.1789,                0.84544,                0.86971,                0.95746,                0.76505,                0.78847,                0.65554,                 1.4785,             0.00059405,             0.00059405,             0.00059405
                     49,                0.68514,                0.53285,                 1.1682,                0.69967,                0.88949,                0.84197,                0.67243,                 0.8117,                 0.8873,                 1.5009,             0.00058305,             0.00058305,             0.00058305
                     50,                0.69709,                 0.5633,                  1.178,                0.76577,                0.83856,                0.91134,                0.73255,                0.80227,                0.82001,                 1.5026,             0.00057205,             0.00057205,             0.00057205
                     51,                0.69489,                0.55115,                  1.168,                0.79076,                0.87633,                 0.9216,                 0.7388,                0.79797,                0.66129,                 1.4779,             0.00056105,             0.00056105,             0.00056105
                     52,                0.67742,                0.53768,                 1.1522,                0.71063,                0.91275,                0.90074,                 0.7236,                0.80006,                0.76595,                  1.491,             0.00055006,             0.00055006,             0.00055006
                     53,                0.66816,                0.53738,                 1.1515,                0.75513,                0.80104,                0.89929,                0.71305,                 0.7922,                0.86282,                 1.4795,             0.00053906,             0.00053906,             0.00053906
                     54,                0.68744,                0.55791,                 1.1566,                0.78721,                0.88497,                0.89897,                0.71747,                0.80166,                0.76658,                  1.502,             0.00052806,             0.00052806,             0.00052806
                     55,                0.64335,                0.49506,                 1.1268,                0.71478,                0.82507,                 0.8481,                0.67827,                0.80748,                0.95582,                 1.5087,             0.00051706,             0.00051706,             0.00051706
                     56,                0.66441,                 0.5005,                  1.142,                0.74038,                0.84453,                0.87881,                0.71189,                0.76854,                0.84042,                 1.4627,             0.00050606,             0.00050606,             0.00050606
                     57,                0.67144,                0.48937,                 1.1526,                0.79394,                0.83203,                0.92095,                0.74136,                0.76945,                0.74815,                 1.4681,             0.00049506,             0.00049506,             0.00049506
                     58,                0.65594,                0.50193,                 1.1431,                0.71055,                0.86748,                0.88085,                0.69796,                0.80179,                0.82063,                 1.5188,             0.00048406,             0.00048406,             0.00048406
                     59,                0.63239,                0.48651,                 1.1285,                0.72123,                 0.9094,                0.91273,                0.73262,                 0.7792,                0.74529,                 1.4843,             0.00047306,             0.00047306,             0.00047306
                     60,                0.62993,                 0.4766,                 1.1359,                0.74534,                0.85693,                0.89465,                0.71247,                0.79893,                0.88489,                 1.5067,             0.00046206,             0.00046206,             0.00046206
                     61,                0.64644,                0.48336,                 1.1401,                0.77411,                0.82981,                0.85747,                0.67027,                0.82193,                0.83018,                 1.5411,             0.00045107,             0.00045107,             0.00045107
                     62,                0.64535,                0.46934,                 1.1297,                0.71174,                0.87414,                0.85072,                0.67826,                0.80931,                0.87944,                 1.5259,             0.00044007,             0.00044007,             0.00044007
                     63,                0.63348,                 0.4874,                  1.144,                0.74704,                0.86946,                0.90088,                0.72621,                0.78453,                0.66733,                 1.4906,             0.00042907,             0.00042907,             0.00042907
                     64,                0.63592,                0.46303,                 1.1244,                0.76844,                0.88623,                0.90931,                0.73836,                0.76831,                0.76686,                 1.4772,             0.00041807,             0.00041807,             0.00041807
                     65,                 0.6456,                0.47569,                 1.1361,                 0.8244,                0.82597,                0.88639,                0.72488,                0.77343,                 0.7146,                  1.488,             0.00040707,             0.00040707,             0.00040707
                     66,                0.60081,                0.43765,                 1.1068,                0.71768,                0.84692,                0.86963,                 0.7083,                0.75304,                0.79923,                 1.4703,             0.00039607,             0.00039607,             0.00039607
                     67,                0.62011,                0.46883,                 1.1291,                0.75613,                0.82524,                 0.8564,                0.69478,                0.75545,                0.87765,                 1.4621,             0.00038507,             0.00038507,             0.00038507
                     68,                0.61257,                0.45637,                 1.1246,                0.71649,                 0.7811,                0.83692,                0.66956,                 0.7801,                 1.0119,                 1.4898,             0.00037407,             0.00037407,             0.00037407
                     69,                 0.6068,                0.44718,                 1.1268,                0.75773,                0.82586,                0.83857,                0.67726,                0.76062,                0.93443,                 1.4575,             0.00036307,             0.00036307,             0.00036307
                     70,                0.60096,                0.44859,                 1.1234,                0.73628,                0.80248,                0.86694,                0.70027,                0.77557,                0.90002,                 1.4781,             0.00035208,             0.00035208,             0.00035208
                     71,                0.60481,                0.44296,                 1.1095,                0.73338,                0.88562,                 0.8698,                   0.69,                0.79909,                0.75895,                 1.5158,             0.00034108,             0.00034108,             0.00034108
                     72,                0.57542,                0.43013,                 1.0866,                 0.6936,                 0.8644,                  0.891,                0.71872,                0.77686,                0.86103,                 1.4921,             0.00033008,             0.00033008,             0.00033008
                     73,                  0.597,                0.42559,                 1.1081,                0.70092,                 0.8637,                0.84993,                0.67628,                0.79459,                0.93022,                 1.5068,             0.00031908,             0.00031908,             0.00031908
                     74,                 0.5732,                0.41893,                 1.0924,                0.68034,                0.88625,                0.85319,                0.68885,                0.76818,                0.85428,                 1.4976,             0.00030808,             0.00030808,             0.00030808
                     75,                 0.6015,                0.41656,                 1.1057,                0.71931,                0.83096,                0.82334,                0.67124,                0.76155,                0.99988,                  1.499,             0.00029708,             0.00029708,             0.00029708
                     76,                 0.5749,                0.40952,                 1.0976,                0.69022,                0.80611,                0.81405,                0.65786,                0.75995,                 1.0192,                 1.4864,             0.00028608,             0.00028608,             0.00028608
                     77,                0.58309,                0.40299,                 1.0955,                0.74307,                0.82901,                0.86629,                0.70025,                0.78543,                0.88753,                  1.507,             0.00027508,             0.00027508,             0.00027508
                     78,                0.56591,                0.41266,                 1.0972,                0.71165,                 0.8759,                 0.8616,                0.69721,                0.77092,                0.92164,                 1.4975,             0.00026408,             0.00026408,             0.00026408
                     79,                0.58858,                0.41803,                 1.1065,                0.67274,                0.83695,                0.83981,                0.68508,                0.76615,                0.97877,                 1.5031,             0.00025309,             0.00025309,             0.00025309
                     80,                0.55736,                0.38975,                 1.0803,                0.70056,                0.84314,                0.84561,                0.67844,                0.76411,                0.94493,                 1.5121,             0.00024209,             0.00024209,             0.00024209
                     81,                0.55444,                0.38991,                 1.0854,                0.71594,                0.85008,                 0.8494,                0.67971,                0.77983,                0.83077,                 1.5063,             0.00023109,             0.00023109,             0.00023109
                     82,                0.53704,                0.37727,                 1.0788,                0.69495,                0.89331,                0.86507,                0.69101,                0.79337,                 0.8412,                 1.5373,             0.00022009,             0.00022009,             0.00022009
                     83,                0.52599,                0.35569,                 1.0675,                0.76716,                0.83137,                0.85925,                0.69894,                0.75707,                0.84301,                 1.4998,             0.00020909,             0.00020909,             0.00020909
                     84,                0.54464,                0.38181,                 1.0762,                0.76403,                0.90191,                0.86724,                0.70627,                0.75423,                0.71854,                 1.5079,             0.00019809,             0.00019809,             0.00019809
                     85,                0.51399,                0.37964,                 1.0741,                0.78642,                0.88224,                0.89395,                0.72611,                0.76461,                 0.7071,                 1.5028,             0.00018709,             0.00018709,             0.00018709
